instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,success
1,01/01/2011,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,FALSE
2,01/01/2011,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,FALSE
3,01/01/2011,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,FALSE
4,01/01/2011,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13,FALSE
5,01/01/2011,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,FALSE
6,01/01/2011,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,FALSE
7,01/01/2011,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,FALSE
8,01/01/2011,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3,FALSE
9,01/01/2011,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,FALSE
10,01/01/2011,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,FALSE
11,01/01/2011,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,FALSE
12,01/01/2011,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,FALSE
13,01/01/2011,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,FALSE
14,01/01/2011,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,FALSE
15,01/01/2011,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,FALSE
16,01/01/2011,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,FALSE
17,01/01/2011,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,FALSE
18,01/01/2011,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,FALSE
19,01/01/2011,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,FALSE
20,01/01/2011,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,FALSE
21,01/01/2011,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,FALSE
22,01/01/2011,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,FALSE
23,01/01/2011,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,FALSE
24,01/01/2011,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,FALSE
25,02/01/2011,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,FALSE
26,02/01/2011,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,FALSE
27,02/01/2011,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8,9,FALSE
28,02/01/2011,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,FALSE
29,02/01/2011,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,FALSE
30,02/01/2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,FALSE
31,02/01/2011,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,FALSE
32,02/01/2011,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,FALSE
33,02/01/2011,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,FALSE
34,02/01/2011,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,FALSE
35,02/01/2011,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,FALSE
36,02/01/2011,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,FALSE
37,02/01/2011,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,FALSE
38,02/01/2011,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,FALSE
39,02/01/2011,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,FALSE
40,02/01/2011,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,FALSE
41,02/01/2011,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,FALSE
42,02/01/2011,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,FALSE
43,02/01/2011,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,FALSE
44,02/01/2011,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,FALSE
45,02/01/2011,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,FALSE
46,02/01/2011,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,FALSE
47,02/01/2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,FALSE
48,03/01/2011,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,FALSE
49,03/01/2011,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,FALSE
50,03/01/2011,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,FALSE
51,03/01/2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,FALSE
52,03/01/2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,FALSE
53,03/01/2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,FALSE
54,03/01/2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,FALSE
55,03/01/2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,FALSE
56,03/01/2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,FALSE
57,03/01/2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,FALSE
58,03/01/2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,FALSE
59,03/01/2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,FALSE
60,03/01/2011,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,FALSE
61,03/01/2011,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,FALSE
62,03/01/2011,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,FALSE
63,03/01/2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,FALSE
64,03/01/2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,FALSE
65,03/01/2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102,110,FALSE
66,03/01/2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,FALSE
67,03/01/2011,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,FALSE
68,03/01/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,FALSE
69,03/01/2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,FALSE
70,04/01/2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,FALSE
71,04/01/2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,FALSE
72,04/01/2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,FALSE
73,04/01/2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,FALSE
74,04/01/2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,FALSE
75,04/01/2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,FALSE
76,04/01/2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,FALSE
77,04/01/2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,FALSE
78,04/01/2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,FALSE
79,04/01/2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,FALSE
80,04/01/2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,FALSE
81,04/01/2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,FALSE
82,04/01/2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,FALSE
83,04/01/2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,FALSE
84,04/01/2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,FALSE
85,04/01/2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,FALSE
86,04/01/2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,TRUE
87,04/01/2011,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,FALSE
88,04/01/2011,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,FALSE
89,04/01/2011,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,FALSE
90,04/01/2011,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,0,48,48,FALSE
91,04/01/2011,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,FALSE
92,04/01/2011,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,FALSE
93,05/01/2011,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,0,6,6,FALSE
94,05/01/2011,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,FALSE
95,05/01/2011,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,FALSE
96,05/01/2011,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,FALSE
97,05/01/2011,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,FALSE
98,05/01/2011,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,FALSE
99,05/01/2011,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,FALSE
100,05/01/2011,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,TRUE
101,05/01/2011,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,FALSE
102,05/01/2011,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,FALSE
103,05/01/2011,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,FALSE
104,05/01/2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,FALSE
105,05/01/2011,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,FALSE
106,05/01/2011,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,FALSE
107,05/01/2011,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,FALSE
108,05/01/2011,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,FALSE
109,05/01/2011,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,TRUE
110,05/01/2011,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,FALSE
111,05/01/2011,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,FALSE
112,05/01/2011,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,FALSE
113,05/01/2011,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,FALSE
114,05/01/2011,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,FALSE
115,05/01/2011,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,1,18,19,FALSE
116,06/01/2011,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,0,11,11,FALSE
117,06/01/2011,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,0,4,4,FALSE
118,06/01/2011,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,0,2,2,FALSE
119,06/01/2011,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,FALSE
120,06/01/2011,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,FALSE
121,06/01/2011,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,FALSE
122,06/01/2011,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,0,95,95,FALSE
123,06/01/2011,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,3,216,219,TRUE
124,06/01/2011,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,6,116,122,FALSE
125,06/01/2011,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,3,42,45,FALSE
126,06/01/2011,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,FALSE
127,06/01/2011,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,6,78,84,FALSE
128,06/01/2011,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,FALSE
129,06/01/2011,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,FALSE
130,06/01/2011,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,8,54,62,FALSE
131,06/01/2011,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,FALSE
132,06/01/2011,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,FALSE
133,06/01/2011,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,FALSE
134,06/01/2011,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,FALSE
135,06/01/2011,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,FALSE
136,06/01/2011,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,FALSE
137,06/01/2011,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,FALSE
138,06/01/2011,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,FALSE
139,07/01/2011,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,FALSE
140,07/01/2011,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,FALSE
141,07/01/2011,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,FALSE
142,07/01/2011,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,FALSE
143,07/01/2011,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,0,5,5,FALSE
144,07/01/2011,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,8,26,34,FALSE
145,07/01/2011,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,FALSE
146,07/01/2011,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,TRUE
147,07/01/2011,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,FALSE
148,07/01/2011,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,FALSE
149,07/01/2011,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,FALSE
150,07/01/2011,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,FALSE
151,07/01/2011,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,FALSE
152,07/01/2011,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,FALSE
153,07/01/2011,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,FALSE
154,07/01/2011,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,FALSE
155,07/01/2011,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,9,178,187,FALSE
156,07/01/2011,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,FALSE
157,07/01/2011,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,FALSE
158,07/01/2011,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,FALSE
159,07/01/2011,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,FALSE
160,07/01/2011,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,FALSE
161,07/01/2011,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,FALSE
162,08/01/2011,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,FALSE
163,08/01/2011,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,FALSE
164,08/01/2011,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,3,13,16,FALSE
165,08/01/2011,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,FALSE
166,08/01/2011,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,FALSE
167,08/01/2011,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,FALSE
168,08/01/2011,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,FALSE
169,08/01/2011,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,FALSE
170,08/01/2011,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,FALSE
171,08/01/2011,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,FALSE
172,08/01/2011,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,FALSE
173,08/01/2011,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,FALSE
174,08/01/2011,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,FALSE
175,08/01/2011,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,FALSE
176,08/01/2011,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,FALSE
177,08/01/2011,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,FALSE
178,08/01/2011,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,FALSE
179,08/01/2011,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,FALSE
180,08/01/2011,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,FALSE
181,08/01/2011,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,FALSE
182,08/01/2011,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,FALSE
183,08/01/2011,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,FALSE
